study_id,title,status,phase,enrollment
NCT03970772,Mini-Dose Glucagon to Treat Fasting-induced Hypoglycemia During Ramadan,COMPLETED,NA,20.0
NCT04804072,INTEGRA: A Vanguard Study of Health Service Delivery in a Mobile Health Delivery Unit,COMPLETED,NA,447.0
NCT00757172,"Panitumumab, Docetaxel, Cisplatin, Radiation Therapy, and Surgery in Treating Patients With Newly Diagnosed, Locally Advanced Esophageal Cancer or Cancer of the Gastroesophageal Junction",COMPLETED,PHASE2,70.0
NCT00925639,Effects of the Concentrated Extract of Soy on Coagulation Factors After Menopause,UNKNOWN,PHASE3,84.0
NCT02822339,Sun Protection Factor Assay,COMPLETED,NA,5.0
NCT02059239,Bendamustine Bridge to Autologous or Allogeneic Transplant for Relapsed/Refractory Lymphoma,COMPLETED,PHASE1,34.0
NCT01608139,"Study of Curcumin, Vorinostat, and Sorafenib",WITHDRAWN,PHASE1,0.0
NCT03906539,Effect of Virgin Coconut Oil (VCO) on Cardiometabolic Parameters in Patients With Dyslipidemia,COMPLETED,PHASE4,150.0
NCT01469377,Safety and Efficacy of Cariprazine as an Adjunctive to Antidepressant Therapy in Major Depressive Disorder,COMPLETED,PHASE2,819.0
NCT05109377,Endocan Level in Patients With Erectile Dysfunction and Relationship With Tadalafil Treatment,UNKNOWN,NA,90.0
NCT01854177,Differentiating the Effects of Substance P and Beta-endorphin,COMPLETED,NA,10.0
NCT06978777,Effect of Caffeine on Cold-stimulated Brown Adipose Tissue Activity,RECRUITING,NA,12.0
NCT00835575,"15 mg Mirtazapine Orally Disintegrating Tablets, Fasting",COMPLETED,PHASE1,32.0
NCT03552575,The Effects of Sacubitril/Valsartan Compared to Valsartan on LV Remodelling in Asymptomatic LV Systolic Dysfunction After MI,COMPLETED,PHASE3,93.0
NCT02678975,Disulfiram in Recurrent Glioblastoma,COMPLETED,PHASE2,88.0
NCT01070875,Partial Thromboplastin Time During the First 24 Hours of Antithrombotic Prophylaxis Using Unfractionated Heparin (UFH),COMPLETED,NA,53.0
